Type of materials,Sub_type of materials,Functioal group/drug,Abbreviation,Shape,Agglomeration,Zeta potential,Cell_Type,Stimulant,Cellular uptake,Pro_inflammatoary ,Anti_inflammatoary ,Apoptosis,Organism,Gender,Dose times (Single dose/Multiple dose),Administration route,Injury_Model,Biosafety,Recovery,Reference,Unnamed: 27,Size (nm)_min,Size (nm)_max,NPs_Conc (ug/mL)_min,NPs_Conc (ug/mL)_max,Stimulant_Conc(ug/ml)_min,Stimulant_Conc(ug/ml)_max,Age (Weeks)_min,Age (Weeks)_max,Weight (g)_min,Weight (g)_max,Dose_invivo_ (mg/Kg)_min,Dose_invivo_ (mg/Kg)_max
Other,,,,Sphere,No,Negative ,Glial,Inflammatory stimuli,High,Low,High,Low,,,,,Spinal Injury,Good,Good,A Cryo-shocked M2 Macrophages-based Treatment Strategy Promoting Repair of Spinal Cord Injury via Immunomodulation and Axonal Regeneration,10.1186/s12951-024-03018-x,200.0,,100.0,500.0,0.0,10.0,,,,,,
Hybrid,,,,Non-Sphere,Yes,Negative ,Other,Oxidative stress,High,Low,High,Low,,,,,Spinal Injury,Good,Good,An injectable and adaptable hydrogen sulfide delivery system for modulating neuroregenerative microenvironment,10.1126/sciadv.adi1078,10.0,100.0,100.0,500.0,10.0,100.0,,,,,,
Hybrid,,,,Non-Sphere,Yes,Negative ,,Oxidative stress,High,Low,High,Low,Small Rodents,Male,Single,Intravenous,Spinal Injury,Good,Good,An injectable and adaptable hydrogen sulfide delivery system for modulating neuroregenerative microenvironment,10.1126/sciadv.adi1078,10.0,100.0,100.0,500.0,10.0,100.0,,,,,200.0,
Hybrid,,,,Non-Sphere,Yes,Negative ,Neuronal,Parkinsonism stimuli,High,High,,Low,,,,,Brain Disease,Good,Good,"Chitosan alleviates symptoms of Parkinson’s disease by reducing acetate levels, which decreases inflammation and promotes repair of the intestinal barrier and blood–brain barrier",10.4103/NRR.NRR-D-23-01511,100.0,200.0,,,,,,,,,,
Hybrid,,,,Non-Sphere,Yes,Negative ,,Parkinsonism stimuli,High,Low,High,Low,Small Rodents,Male,,,Brain Disease,Good,Good,"Chitosan alleviates symptoms of Parkinson’s disease by reducing acetate levels, which decreases inflammation and promotes repair of the intestinal barrier and blood–brain barrier",10.4103/NRR.NRR-D-23-01511,100.0,200.0,,,,,,,,,,
Organic,,,,Non-Sphere,,Negative ,Raw 264.7,Inflammatory stimuli,,Low,,,Other Vertebrates,,,,Brain Disease,Good,,β-chitosan attenuates hepatic macrophage-driven inflammation and reverses aging-related cognitive impairment,10.1016/j.isci.2024.110766,200.0,,1.0,10.0,0.0,10.0,,,,,,
Organic,,,,Non-Sphere,,Negative ,,Inflammatory stimuli,,Low,,,Other Vertebrates,Both,Multiple,Other,Brain Disease,Good,Good,β-chitosan attenuates hepatic macrophage-driven inflammation and reverses aging-related cognitive impairment,10.1016/j.isci.2024.110766,200.0,,1.0,10.0,0.0,10.0,10.0,,,,10.0,100.0
Organic,,,,Non-Sphere,,Negative ,,Inflammatory stimuli,,Low,,,Other Vertebrates,Both,Multiple,Other,Brain Disease,Good,Good,β-chitosan attenuates hepatic macrophage-driven inflammation and reverses aging-related cognitive impairment,10.1016/j.isci.2024.110766,200.0,,1.0,10.0,0.0,10.0,10.0,,,,10.0,100.0
Organic,,,,Non-Sphere,,Negative ,,Inflammatory stimuli,,Low,,,Other Vertebrates,,Multiple,Other,Brain Disease,Good,Good,β-chitosan attenuates hepatic macrophage-driven inflammation and reverses aging-related cognitive impairment,10.1016/j.isci.2024.110766,200.0,,1.0,10.0,0.0,10.0,10.0,,,,10.0,100.0
Organic,,,,Non-Sphere,,Negative ,,Inflammatory stimuli,,Low,,,Other Vertebrates,,Multiple,Other,Brain Disease,Good,Good,β-chitosan attenuates hepatic macrophage-driven inflammation and reverses aging-related cognitive impairment,10.1016/j.isci.2024.110766,200.0,,1.0,10.0,0.0,10.0,10.0,,,,10.0,100.0
Hybrid,,,,Sphere,Yes,Negative ,,Oxidative stress,High,Low,,,Small Rodents,Female,Multiple,Other,Brain Injury,Bad,Bad,Decreased viability and neurite length in neural cells treated with chitosan-dextran sulfate nanocomplexes,10.1101/616144,100.0,200.0,,,0.0,10.0,10.0,,,,,
Hybrid,,,,Sphere,Yes,Negative ,Other,Oxidative stress,High,High,,,,,,,Brain Injury,Good,Good,Decreased viability and neurite length in neural cells treated with chitosan-dextran sulfate nanocomplexes,10.1101/616144,100.0,200.0,10.0,100.0,0.0,10.0,,,,,,
Hybrid,,,,Sphere,Yes,Positive,Neuronal,Parkinsonism stimuli,High,Low,High,Low,,,,,Brain Disease,Good,Good,Chitosan-coated nanostructured lipid carriers for effective brain delivery of Tanshinone IIA in Parkinson’s disease,10.1007/s13346-023-01407-7,100.0,200.0,100.0,500.0,,,,,,,,
Hybrid,,,,Sphere,Yes,Positive,,Parkinsonism stimuli,High,Low,High,Low,Small Rodents,Male,Multiple,Other,Brain Disease,Good,Good,Chitosan-coated nanostructured lipid carriers for effective brain delivery of Tanshinone IIA in Parkinson’s disease,10.1007/s13346-023-01407-7,100.0,200.0,100.0,500.0,,,5.0,10.0,50.0,,10.0,
Hybrid,,,,Sphere,Yes,Negative ,,Inflammatory stimuli,High,Low,High,Low,Small Rodents,Male,Multiple,Intravenous,Brain Injury,Good,Good,Hybrid membrane-coated Cyclosporine A nanocrystals preventing secondary brain injury via alleviating neuroinflammatory and oxidative stress,10.1016/j.jconrel.2025.113795,100.0,200.0,10.0,100.0,,,,,1.0,50.0,10.0,
Hybrid,,,,Sphere,Yes,Negative ,Glial,Inflammatory stimuli,High,Low,High,Low,,,,,Brain Injury,Good,Good,Hybrid membrane-coated Cyclosporine A nanocrystals preventing secondary brain injury via alleviating neuroinflammatory and oxidative stress,10.1016/j.jconrel.2025.113795,100.0,200.0,10.0,100.0,,,,,,,,
Hybrid,,,,Sphere,Yes,Positive,Other,Neurotoxins,High,Low,High,Low,,,,,Brain Disease,Good,Good,Hybrid  nanonomaterials as a Novel Tool for Regulating Psychosine-Induced Neuroinflammation and Demyelination In Vitro and Ex Vivo,10.1007/s13311-021-01109-3,100.0,200.0,1.0,10.0,0.0,10.0,,,,,,
Hybrid,,,,Sphere,Yes,Negative ,,Neurodegenrative peptide,High,Low,High,Low,Small Rodents,,Multiple,,Brain Disease,Good,Good,BDNF-Loaded Amino Acid-Catecholamine Hybrid nanoparticles as Curative Agents Against Cognitive Decline in Alzheimer’s Disease,10.1002/smll.202411701,100.0,200.0,,,,,,,1.0,50.0,,
Hybrid,,,,Sphere,Yes,Negative ,Neuronal,Neurodegenrative peptide,High,Low,High,Low,,,,,Brain Disease,Good,Good,BDNF-Loaded Amino Acid-Catecholamine Hybrid nanoparticles as Curative Agents Against Cognitive Decline in Alzheimer’s Disease,10.1002/smll.202411701,100.0,200.0,,,,,,,,,,
Hybrid,,,,Sphere,Yes,Negative ,,Inflammatory stimuli,High,Low,High,Low,Small Rodents,Both,Multiple,Intravenous,Brain Disease,,Good,Hybrid Membrane-Coated nanoparticles for Precise Targeting and Synergistic Therapy in Alzheimer’s Disease,10.1002/advs.202306675,200.0,,10.0,100.0,10.0,100.0,10.0,,,,10.0,
Hybrid,,,,Sphere,Yes,Negative ,Other,Inflammatory stimuli,High,Low,High,Low,,,,,Brain Disease,Good,Good,Hybrid Membrane-Coated nanoparticles for Precise Targeting and Synergistic Therapy in Alzheimer’s Disease,10.1002/advs.202306675,200.0,,10.0,100.0,10.0,100.0,,,,,,
Hybrid,,,,Sphere,Yes,Negative ,Neuronal,Parkinsonism stimuli,High,Low,High,Low,,,,,Brain Disease,Good,Good,Resveratrol and Ceftriaxone Encapsulated in Hybrid nanoparticles to Prevent Dopaminergic Neurons from Degeneration for Parkinson’s Disease Treatment,10.1016/j.bioadv.2024.214065,200.0,,10.0,100.0,100.0,500.0,,,,,,
Hybrid,,,,Sphere,Yes,Negative ,,Parkinsonism stimuli,High,Low,High,Low,Small Rodents,Male,Multiple,Intravenous,Brain Disease,,Good,Resveratrol and Ceftriaxone Encapsulated in Hybrid nanoparticles to Prevent Dopaminergic Neurons from Degeneration for Parkinson’s Disease Treatment,10.1016/j.bioadv.2024.214065,200.0,,10.0,100.0,100.0,500.0,5.0,10.0,50.0,,,
Hybrid,,,,Sphere,No,Negative ,,,High,Low,High,Low,Small Rodents,Male,Multiple,Other,Brain Injury,,Good,Intraoperative application of an antioxidant nanoparticle-hydrogel targeting microglia regulates neuroinflammation in traumatic brain injury,10.1186/s12951-025-03682-7,100.0,200.0,,,,,5.0,10.0,,,,
Hybrid,,,,Sphere,No,Negative ,Glial,,High,Low,High,Low,,,,,Brain Injury,Good,Good,Intraoperative application of an antioxidant nanoparticle-hydrogel targeting microglia regulates neuroinflammation in traumatic brain injury,10.1186/s12951-025-03682-7,100.0,200.0,,,,,,,,,,
Other,,,,Sphere,Yes,Negative ,,Oxidative stress,High,Low,High,Low,Small Rodents,,Multiple,Other,Brain Injury,Good,Good,Multilayered Nanocarriers as a New Strategy for Delivering Drugs with Protective and Anti-inflammatory Potential: Studies in Hippocampal Organotypic Cultures Subjected to Experimental Ischemia,10.1007/s12035-024-04670-y,200.0,,10.0,100.0,10.0,100.0,5.0,10.0,,,10.0,100.0
Other,,,,Sphere,Yes,Negative ,Other,Oxidative stress,High,Low,High,Low,,,,,Brain Injury,Good,,Multilayered Nanocarriers as a New Strategy for Delivering Drugs with Protective and Anti-inflammatory Potential: Studies in Hippocampal Organotypic Cultures Subjected to Experimental Ischemia,10.1007/s12035-024-04670-y,200.0,,10.0,100.0,10.0,100.0,,,,,,
Organic,,,,Sphere,Yes,Negative ,,Inflammatory stimuli,,Low,High,Low,Small Rodents,,Single,Intravenous,Spinal Injury,,Good,nanoparticle-mediated local delivery of methylprednisolone after spinal cord injury,10.1016/j.biomaterials.2008.12.077,100.0,200.0,500.0,,0.0,10.0,,,50.0,,10.0,100.0
Organic,,,,Sphere,Yes,Negative ,Primary,Inflammatory stimuli,,Low,High,Low,,,,,Spinal Injury,,Good,nanoparticle-mediated local delivery of methylprednisolone after spinal cord injury,10.1016/j.biomaterials.2008.12.077,100.0,200.0,500.0,,0.0,10.0,,,,,,
Organic,,,,Sphere,No,,,,High,Low,High,Low,Small Rodents,,Multiple,Other,Spinal Injury,Bad,Good,Electroconductive PEDOT nanoparticle integrated scaffolds for spinal cord tissue repair,10.1186/s40824-022-00310-5,,,500.0,,,,,,50.0,,10.0,100.0
Organic,,,,Sphere,No,,Other,,High,Low,High,Low,,,,,Spinal Injury,Good,Good,Electroconductive PEDOT nanoparticle integrated scaffolds for spinal cord tissue repair,10.1186/s40824-022-00310-5,,,500.0,,,,,,,,,
Organic,,,,Sphere,Yes,,,,,Low,High,Low,Small Rodents,Male,Multiple,Intravenous,Brain Injury,Good,Good,OEA loaded liposomes with the neuroprotective effect for stroke therapy,10.3389/fchem.2022.1014208,10.0,100.0,,,,,10.0,,50.0,,10.0,
Inorganic,Cerium Oxide,,Ceria NSs,Non-Sphere,Yes,,,,,Low,High,Low,Small Rodents,,Multiple,Other,Brain Injury,Good,Good,Shape effect of cerium oxide nanoparticles on mild traumatic brain injury,10.1038/s41598-021-95057-9,100.0,200.0,,,,,5.0,10.0,,,10.0,
Inorganic,Cerium Oxide,,CeO₂NPs,Non-Sphere,No,,,,,Low,High,Low,Small Rodents,Female,Single,,Spinal Injury,Good,Good,Cerium oxide nanoparticles alleviate neuropathic pain by modulating macrophage polarization in a rat SCI model,10.2147/JPR.S371789,,10.0,,,,,,,50.0,,10.0,
Hybrid,,,,Sphere,Yes,Positive,,Oxidative stress,High,Low,High,Low,Small Rodents,,,,Spinal Injury,Good,Good,Gold nanoclusters conjugated berberine reduce inflammation and alleviate neuronal apoptosis by mediating M2 polarization for spinal cord injury repair,10.1093/rb/rbab072,100.0,200.0,500.0,,100.0,500.0,,,,,,
Hybrid,,,,Sphere,Yes,Positive,Neuronal,Oxidative stress,High,Low,High,Low,,,,,Spinal Injury,Good,Good,Gold nanoclusters conjugated berberine reduce inflammation and alleviate neuronal apoptosis by mediating M2 polarization for spinal cord injury repair,10.1093/rb/rbab072,100.0,200.0,500.0,,100.0,500.0,,,,,,
Inorganic,Prussian Blue Nanozymes,Iron hexacyanoferrate,PBNs,Non-Sphere,Yes,Negative ,Neuronal,Inflammatory stimuli,High,Low,High,Low,,,,,Brain Injury,Good,Good,Hollow Prussian Blue–Bismuth nanocages for Reactive Oxygen and Nitrogen Species Scavenging in Ischemic Stroke,10.1021/acs.Missingnolett.8b04729,10.0,100.0,10.0,100.0,0.0,10.0,,,,,,
Inorganic,Prussian Blue Nanozymes,Iron hexacyanoferrate,PBNs,Non-Sphere,Yes,Negative ,,Inflammatory stimuli,High,Low,High,Low,Small Rodents,,Multiple,Intravenous,Brain Injury,Good,Good,Hollow Prussian Blue–Bismuth nanocages for Reactive Oxygen and Nitrogen Species Scavenging in Ischemic Stroke,10.1021/acs.Missingnolett.8b04729,10.0,100.0,10.0,100.0,0.0,10.0,,,,,,
Organic,,,,Sphere,Yes,Negative ,,Parkinsonism stimuli,High,Low,High,Low,Small Rodents,,Multiple,Intravenous,Brain Disease,Good,Good,Biomimetic nanoparticles Enhance Recovery of Movement Disorders in Parkinson’s Disease by Improving Microglial Mitochondrial Homeostasis and Suppressing Neuroinflammation,10.1021/acsami.4c22181,200.0,,,,,,,,,,,
Organic,,,,Sphere,Yes,Negative ,Glial,Parkinsonism stimuli,High,Low,High,Low,,,,,Brain Disease,Good,Good,Biomimetic nanoparticles Enhance Recovery of Movement Disorders in Parkinson’s Disease by Improving Microglial Mitochondrial Homeostasis and Suppressing Neuroinflammation,10.1021/acsami.4c22181,200.0,,,,,,,,,,,
Hybrid,,,,Sphere,No,Negative ,Neuronal,Inflammatory stimuli,High,High,High,Low,,,,,Brain Injury,Good,Good,Hybrid Exosome–Liposome nanoparticles for Dual Modulation of Neuroinflammation and Lipid Metabolism in Ischemic Stroke,10.1021/acsMissingno.5c11417,100.0,200.0,,,,,,,,,,
Hybrid,,,,Sphere,No,Negative ,,Ischemia models,High,Low,High,Low,Small Rodents,,,,Brain Injury,Good,Good,Hybrid Exosome–Liposome nanoparticles for Dual Modulation of Neuroinflammation and Lipid Metabolism in Ischemic Stroke,10.1021/acsMissingno.5c11417,100.0,200.0,,,,,,,,,,
Inorganic,Gold,Peptide,Au-P12,Sphere,Yes,,,Inflammatory stimuli,High,Low,High,Low,Small Rodents,Male,Multiple,Intraperitoneal,Brain Disease,Good,Good,The hexapeptide Functionalized gold nanoparticles protect against sepsis-associated encephalopathy by forming specific protein corona and regulating macrophage activation,10.1016/j.mtbio.2025.101704,10.0,100.0,1.0,10.0,0.0,10.0,5.0,10.0,,,,
Inorganic,Gold,Peptide,Au-P12,Sphere,Yes,,Neuronal,Inflammatory stimuli,High,Low,High,Low,,,,,Brain Disease,Good,Good,The hexapeptide Functionalized gold nanoparticles protect against sepsis-associated encephalopathy by forming specific protein corona and regulating macrophage activation,10.1016/j.mtbio.2025.101704,10.0,100.0,1.0,10.0,0.0,10.0,,,,,,
Inorganic,Gold,"Morin hydrate, Polydatin, and Berberine chloride",AuNPs,Sphere,Yes,Negative ,Neuronal,Parkinsonism stimuli,High,Low,High,Low,,,,,Brain Disease,Good,Good,Green-synthesized gold nanoparticles exhibit neuroprotective activity against oxidative stress-induced damage in SH-SY5Y cells,10.1007/s11051-025-06387-y,200.0,,10.0,100.0,100.0,500.0,,,,,,
Organic,,,,Sphere,Yes,Negative,Glial,Ischemia models,High,Low,High,Low,,,,,Brain Injury,Good,Good,Curcumin-loaded polymeric nanoparticles target microglial activation to prevent post-stroke neuroinflammation,10.1016/j.jconrel.2025.02.028,100.0,200.0,10.0,100.0,,,,,,,,
Organic,,,,Sphere,Yes,Negative,,Ischemia models,High,Low,High,Low,Small Rodents,Male,Single,Other,Brain Injury,Good,Good,Curcumin-loaded polymeric nanoparticles target microglial activation to prevent post-stroke neuroinflammation,10.1016/j.jconrel.2025.02.028,100.0,200.0,10.0,100.0,,,10.0,,1.0,50.0,10.0,
Carbon,,,,Non-Sphere,Yes,,,Oxidative stress,High,Low,High,Low,Small Rodents,,Multiple,Other,Brain Disease,Good,Good,Selenium-doped carbon quantum dots suppress neuroinflammation through Nrf2 activation and mitochondrial stabilization,10.1016/j.cej.2024.156544,,10.0,10.0,100.0,10.0,100.0,,,,,10.0,
Carbon,,,,Non-Sphere,Yes,,Neuronal,Oxidative stress,High,Low,High,Low,,,,,Brain Disease,Good,Good,Selenium-doped carbon quantum dots suppress neuroinflammation through Nrf2 activation and mitochondrial stabilization,10.1016/j.cej.2024.156544,,10.0,10.0,100.0,10.0,100.0,,,,,,
Inorganic,Gold,Decorated Scaffolds,AuNps,Sphere,Yes,,Primary,,High,,,,,,,,Brain Disease,Good,Good,Gold  nanonomaterial-Decorated Scaffolds Promote neuronal Differentiation and Maturation,10.1021/acs.Missingnolett.5b04033,,10.0,,,,,,,,,,
Hybrid,,,,Sphere,Yes,,Neuronal,Oxidative stress,High,Low,,,,,,,Brain Disease,,Good,Loading into  nanonomaterials Improves Quercetin’s Efficacy in Preventing Neuroinflammation Induced by Oxysterols,10.1371/jourMissingl.pone.0096795,200.0,,1.0,10.0,100.0,500.0,,,,,,
Organic,,,,Sphere,Yes,,Other,Physical stimuli,Low,,,Low,,,,,Brain Disease,Good,Good,Development of NIR photocleavable  nanonomaterials with BDNF for vestibular neuron regeneration,10.1186/s12951-025-03298-x,10.0,100.0,500.0,,,,,,,,,
Carbon,,,,Non-Sphere,No,,,NPs stimuli,High,,,,Small Rodents,,Multiple,,Brain Disease,Good,Good,Single-Walled Carbon nanotubes Alleviate Autophagic/Lysosomal Defects in Primary Glia from a Mouse Model of Alzheimer’s Disease,10.1021/nl501839q,,,1.0,10.0,0.0,10.0,,,,,,
Carbon,,,,Non-Sphere,No,,Primary,NPs stimuli,High,,,Low,,,,,Brain Disease,Good,Good,Single-Walled Carbon nanotubes Alleviate Autophagic/Lysosomal Defects in Primary Glia from a Mouse Model of Alzheimer’s Disease,10.1021/nl501839q,,,1.0,10.0,0.0,10.0,,,,,,
Carbon,,,,Non-Sphere,No,,Neuronal,Parkinsonism stimuli,High,Low,High,Low,,,,,Brain Disease,Good,Good,Functional single-walled carbon nanotubes ‘CAR’ for targeting dopamine delivery into brain of parkinsonian mice,10.1039/C7NR02682J,,,1.0,10.0,10.0,100.0,,,,,,
Carbon,,,,Non-Sphere,No,,,Parkinsonism stimuli,High,Low,Low,Low,Small Rodents,Male,Multiple,Intraperitoneal,Brain Disease,Bad,Bad,Functional single-walled carbon nanotubes ‘CAR’ for targeting dopamine delivery into brain of parkinsonian mice,10.1039/C7NR02682J,,,1.0,10.0,10.0,100.0,0.0,5.0,1.0,50.0,10.0,
Inorganic,Cerium Oxide,,CeO₂ NPs,Sphere,Yes,,Primary,Neurodegenrative peptide,High,Low,High,Low,,,,,Brain Disease,Good,Good,Cerium oxide nanoparticles protect against Aβ-induced mitochondrial fragmentation and neuronal cell death,10.1038/cdd.2014.72,,,1.0,10.0,0.0,10.0,,,,,,
Inorganic,Cerium Oxide,,CeO₂ NPs,Sphere,Yes,,,Neurodegenrative peptide,High,,,,Small Rodents,,Multiple,,Brain Disease,,,Cerium oxide nanoparticles protect against Aβ-induced mitochondrial fragmentation and neuronal cell death,10.1038/cdd.2014.72,,,1.0,10.0,0.0,10.0,,,,,,
Inorganic,Iron Oxide,fibrin γ377-395 peptide ,γ-Fe2O3,Sphere,Yes,,,,,Low,Low,Low,Small Rodents,,Single,Other,Brain Disease,Good,Good,Age-dependent effects of microglial inhibition in vivo on Alzheimer’s disease neuropathology using bioactive-conjugated iron oxide nanoparticles,10.1186/1477-3155-11-32,,,,,,,10.0,,1.0,50.0,10.0,
Inorganic,Gold,Anthocyanins,An-PEG-AuNPs,Sphere,No,Negative,Glial,Neurodegenrative peptide,High,Low,Low,Low,,,,,Brain Disease,Good,Bad,Enhanced neuroprotection of anthocyanin-loaded PEG-gold nanoparticles against Aβ1–42-induced neuroinflammation and neurodegeneration via the NF-κB/JNK/GSK3β signaling pathway,10.1016/j.Missingno.2017.06.022,,,,,,,,,,,,
Inorganic,Gold,Anthocyanins,An-PEG-AuNPs,Sphere,No,Negative,,Neurodegenrative peptide,High,Low,Low,Low,Small Rodents,,Multiple,Intravenous,Brain Disease,Good,Good,Enhanced neuroprotection of anthocyanin-loaded PEG-gold nanoparticles against Aβ1–42-induced neuroinflammation and neurodegeneration via the NF-κB/JNK/GSK3β signaling pathway,10.1016/j.Missingno.2017.06.022,,,,,,,,,,,,
Inorganic,Gold,Dual peptide hybrid ,VCD10@AuNP,Sphere,Yes,Negative,Neuronal,Neurodegenrative peptide,High,,,Low,,,,,,Good,Good,Design of a Molecular Hybrid of Dual Peptide Inhibitors Coupled on AuNPs for Enhanced Inhibition of Amyloid β-Protein Aggregation and Cytotoxicity,10.1002/smll.201601666,,10.0,1.0,10.0,100.0,500.0,,,,,,
Inorganic,Gold,citrate ,AuNPs_citrate,Sphere,Yes ,,,Neurotoxins,,LOW,High,,Small Rodents,Male,Single,Intraperitoneal,Brain Disease,Good,Good,Gold nanoparticles Treatment Reverses Brain Damage in Alzheimer’s Disease Model,10.1007/s12035-019-01780-w,,,,,10.0,100.0,,,50.0,,10.0,
Inorganic,Iron Oxide,,IONPs,,,,,,,,,,,,,,,,,"Iron oxide  nanonomaterials may damage to the neural tissue through iron accumulation, oxidative stress, and protein aggregation",10.1186/s12868-017-0369-9,,10.0,,,,,,,,,,
Other,,,,Sphere,No,,Neuronal,Parkinsonism stimuli,,,,Low,,,,,Brain Disease,,Good,Inhibition by Multifunctional Magnetic nanoparticles Loaded with Alpha‑Synuclein Rnai Plasmid in a Parkinson’s Disease Model,doi: 10.7150/thno.16562,,,,,500.0,,,,,,,
Other,,,,Sphere,No,,,Parkinsonism stimuli,,,,,Small Rodents,Male,Multiple,Other,Brain Disease,Good,Good,Inhibition by Multifunctional Magnetic nanoparticles Loaded with Alpha‑Synuclein Rnai Plasmid in a Parkinson’s Disease Model,doi: 10.7150/thno.16562,,,,,500.0,,5.0,10.0,,,,
Organic,,,,,,,,,,Low,High,,Small Rodents,Female,Single,Intraperitoneal,Brain Injury,Good,Bad,Polymerized nano-curcumin attenuates neurological symptoms in EAE model of multiple sclerosis through down regulation of inflammatory and oxidative processes and enhancing neuroprotection and myelin repair,10.1016/j.neuropharm.2015.07.013,,,,,,,,,50.0,,10.0,100.0
Organic,,,,Non-Sphere,No,,,Physical stimuli,,Low,Low,,Small Rodents,Male,Multiple,Other,Peripheral Nerve,Good,Good,Novel Degradable Co-polymers of Polypyrrole Support Cell Proliferation and Enhance Neurite Out-Growth with Electrical Stimulation,10.1163/092050609X12481751806330,200.0,,,,10.0,100.0,,,50.0,,,
Organic,,,,Non-Sphere,No,,Neuronal,Physical stimuli,,,,,,,,,Peripheral Nerve,Good,Good,Novel Degradable Co-polymers of Polypyrrole Support Cell Proliferation and Enhance Neurite Out-Growth with Electrical Stimulation,10.1163/092050609X12481751806330,200.0,,,,10.0,100.0,,,,,,
Organic,,,,Non-Sphere,,,,,,,,,Small Rodents,Female,,Intravenous,Spinal Injury,Good,Good,PTMAc-PEG-PTMAc hydrogel modified by RGDC and hyaluronic acid promotes neural stem cells' survival and differentiation in vitro,10.1039/c7ra06614g,200.0,,,,,,,,50.0,,,
Organic,,,,Non-Sphere,,,Other,,,,,,,,,,Spinal Injury,Good,Good,PTMAc-PEG-PTMAc hydrogel modified by RGDC and hyaluronic acid promotes neural stem cells' survival and differentiation in vitro,10.1039/c7ra06614g,200.0,,,,,,,,,,,
Organic,,,,Non-Sphere,Yes,,Other,,,,,,,,,,,Good,Good,A graphene–polyurethane composite hydrogel as a potential bioink for 3D bioprinting and differentiation of neural stem cells,10.1039/c7tb01594a,200.0,,10.0,100.0,,,,,,,,
Organic,,,,Non-Sphere,Yes,,Primary,,,,,,,,,,,Good,Good,A graphene–polyurethane composite hydrogel as a potential bioink for 3D bioprinting and differentiation of neural stem cells,10.1039/c7tb01594a,200.0,,10.0,100.0,,,,,,,,
Hybrid,,,,Non-Sphere,,,,,,,,,Small Rodents,Female,Single,Other,Peripheral Nerve,Good,Bad,"Stabilization, Rolling, and Addition of Other Extracellular Matrix Proteins to Collagen Hydrogels Improve Regeneration in Chitosan Guides for Long Peripheral Nerve Gaps in Rats",10.1093/neuros/nyw068,200.0,,,,,,,,50.0,,,
Hybrid,,,,Non-Sphere,,,,,,,,,Small Rodents,Female,Single,Other,Peripheral Nerve,Good,Bad,"Stabilization, Rolling, and Addition of Other Extracellular Matrix Proteins to Collagen Hydrogels Improve Regeneration in Chitosan Guides for Long Peripheral Nerve Gaps in Rats",10.1093/neuros/nyw068,,,,,,,,,50.0,,,
Hybrid,,,,Non-Sphere,,,,,,,,,Small Rodents,Female,Single,Other,Peripheral Nerve,Good,Good,"Stabilization, Rolling, and Addition of Other Extracellular Matrix Proteins to Collagen Hydrogels Improve Regeneration in Chitosan Guides for Long Peripheral Nerve Gaps in Rats",10.1093/neuros/nyw068,,,,,,,,,50.0,,,
Hybrid,,,,Non-Sphere,,,,,,,,,Small Rodents,Female,Single,Other,Peripheral Nerve,Good,Good,"Stabilization, Rolling, and Addition of Other Extracellular Matrix Proteins to Collagen Hydrogels Improve Regeneration in Chitosan Guides for Long Peripheral Nerve Gaps in Rats",10.1093/neuros/nyw068,,,,,,,,,50.0,,,
